p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
Anto Antony Punnathaniyil,Shri Anto Antony,5/1/57,1-May-57,Kerala,Kerala,No,Pathanamthitta,Pathanamthitta,Indian National Congress,M,"14,24,205","Social Activist, prefers to focus on areas related to education, enviornment, culture, community development and empowerment of weaker sections.","B.A. Educated at St. Thomas College, Palai","France, Germany, Holland, Kuwait, Malaysia, Singapore, Switzerland, Taiwan, U.A.E.,  U.K. and U.S.A.","(1) 44,Skyline, Palmspring Villa, Vadavathoor, P.O. Kottayam, Kerala - 689 645Tel. 09447010000 (M)",,Volleyball,"Vill. Moonnilavu, Distt. Kottayam (Kerala)",,"14,24,205",,Indian National Congress,"Education, environment and rural development"
Milind Murli Deora,Shri Milind Murli Deora,#N/A,4-Dec-76,Maharashtra,Maharashtra,https://twitter.com/milinddeora,Mumbai-South,Mumbai South,Indian National Congress,M,"17,53,73,142",Actively pursuing the cause of propagating free job-oriented computer education to economically underprivileged students through  NGO Sparsh. Committed to provide  free service to over 100 needy schools in Mumbai covering over 1 lakh students. The  program is an example of Public-Private-Partnership,"BBA (Bachelor of Science in Business Administration) Educated at Sydenham College, Mumbai and Boston University, USA",Widely travelled,"16, Khetan Bhawan, 198 J. Tata Road,Churchgate,  Mumbai - 400 020, MaharashtraTel. (022) 22021525  Fax. (022) 22875994",,"Swimming and playing  squash, Member, (i) Breach Candy Swimming & Bath Trust; (ii) Bombay Gymkhana and (iii) Cricket Club of India",Mumbai (Maharashtra),,"17,53,73,142 1",,Indian National Congress,"Conducting Free Eye Camps for the poor of Mumbai;   providing spectacles, basic testing as well as cataract operations"
D Napoleon,Shri D. Napoleon,29/09/1963,29-Sep-63,Tamil Nadu,Tamil Nadu,No,Perambalur,Perambalur,Dravida Munnetra Kazhagam,M,"13,05,82,983","Acted in about hundred films in all major languages of India including Tamil, Telugu, Malayalam and Kannada","B.A.(History)   Educated at St. Joseph s College, Trichy, Tamil Nadu",Widely travelled,"No. 4, IInd Street,  Jagadambal Colony,Royapettan,  Chennai-14, Tamil NaduTels. (044) 28472501, 9840847777 (M) Fax.(044) 43526647",,"Played Basketball at University level;<I>  Chairman,</I>Tamil Nadu Basket Ball Association,  participated  in Decathlon Divisional level","Vill.- Peruvalanallur,  Distt. Trichy (Tamil Nadu)",,"13,05,82,983 1",,Dravida Munnetra Kazhagam,"Social Service, attending public grievances"
Nalin Kumar Kateel,Shri Nalin Kumar Kateel,#N/A,7-Dec-66,Karnataka,Karnataka,https://twitter.com/NalinKumrKateel,Dakshina Kannada,Dakshina Kannada,Bharatiya Janata Party,M,"53,91,279",,"Matriculate   Educated at St. Philomeaia Higher School, Puttar, Dakshina Kannada, Karnataka",,"5-3-91/19, Medows Kodialbail, Mangalore, Dakshina Kannada,KarnatakaTels. (0824) 2444319, 2455215, 09448549445 (M)",,,"Mangalore, Dakshina Kannada (Karnataka)",,"53,91,279",,Bharatiya Janata Party,
Shripad Yasso Naik,Shri Shripad Yesso Naik,10/4/52,4-Oct-52,Goa,Goa,No,North Goa,North Goa,Bharatiya Janata Party,M,"98,97,462","<I>President,</I>  Vidyarthi Nidhi, Goa; <I>Chairman,</I> (i) Shikshan Prassarak Sangh, Dhurbat;  (ii) Sharda English High School, Durbhat, Ponda, Goa; and (iii) Sumangal Urban  Credit Cooperative Society, Durbhat, Ponda, Goa; (iv) Ratnagiri Education Society-Ratnagiri, Maharashtra","B.A.                   Educated at Bombay University, Mumbai and Goa University, Pune,  Maharashtra ","Brazil, U.K., France, Thailand, U.S.A.","Vijayshree, 111, St. Pedro-Old Goa,P.O. Velhagoa -  403 402  GoaTels. (0832) 2444510, 09822122440 (M)  Fax. (0832) 2444088",,"State Player, Kabadi,  Volleyball, Swimming Champion, Southern State Championship, Gold Medalist in 400 mtrs race, Silver medal in shooting, <I>Chairman,</I> Goa Rifle Association-Goa and Mandon Athletic Club - Goa","Adpai, Distt. North Goa (Goa)",,"98,97,462 98 L",,Bharatiya Janata Party,Travelling 
Abhijit Mukherjee,Shri Abhijit Mukherjee,1/2/60,2-Jan-60,West Bengal,West Bengal,https://twitter.com/abhijitpranab,Jangipur,Jangipur,Indian National Congress,M,"2,69,20,479","Organiser of Activities  like blood donation camps, medical camps and flood relief camps etc.","B.E. (Mech.), F.I.E./Chartered Engineer Educated at Jadavpur University, Kolkata and Institution of Engineers Kolkata",Widely travelled,"2 A, 60/2/7 Kabi Bharati SaraniKolkata - 700029Tels. 9433630501",,"Football, trekking and mountaineering","Hoogley, West Bengal",,"2,69,20,479 2",,Indian National Congress,"Ancient history, human resource development and corporate social responsibility (CSR) etc."
Thangso Baite,Shri Thangso Baite,17/04/1953,17-Apr-53,Manipur,Manipur,No,Outer Manipur,Outer Manipur,Indian National Congress,M,"17,78,418","Promotion of education among the poor people by instituting meritorious awards, etc.",M.A.,Nepal,"Vill.Dongjang,  Distt. Churachandpur ManipurTel. (0385) 2416555",,Chess,Dongjang Churach (Manipur),,"17,78,418 17 L",,Indian National Congress,
Jaya Prada Nahata,Smt. P. Jaya Prada Nahata,4/3/62,3-Apr-62,Uttar Pradesh,Uttar Pradesh,No,Rampur,Rampur,Samajwadi Party,F,"13,14,90,118","Actively Participated in various social, educational and cultural activities; toured through the State of Andhra Pradesh with Shri N.T.R. and A.N.R. for collecting cyclone relief fund for the Deviseema calamity, 1997; organised and participated in Star Nights and contributed the proceeds to the Mother Teresa Cancer Institute and Punjab Police Welfare Fund; established Jayaprada Charitable Trust which has organised eye camps, eye banks, blood donation camps, ortho camps, providing blankets to poor, handicapped and destitute people and arranging group marriages,  etc. for the welfare of society; establish Jayaprada Educational Society and Neelaveni Krishna (N.K.) School of Nursing and opening Jayaprada College of Law for the poor student, Rampur","B.A.  Educated at Rajalaxmi Women`s College, Rajahmundry, Andhra Pradesh",Widely travelled,"A- 202, Juhu Princes, Juhu Tara Road, JuhuMumbai - 400 049, Maharashtra",,Member (i) Nizam Club; (ii) Country Club; and (iii) Constitution Club,Rajahmundry (Andhra Pradesh),Film Artist                                                 Fim Producer                                                Distributor                                                 Social Worker,"13,14,90,118 1",,Samajwadi Party,"To do charity work through her Charitable Trust for upliftment of poor, sick, handicapped, victimized and destitute people"
P. C. Chacko,Shri P.C. Chacko,29/09/1946,29-Sep-46,Kerala,Kerala,No,Thrissur,Thrissur,Indian National Congress,M,"1,63,35,679","<I>Secretary</I>, Arts Club University College TVM; associated with many social, art and cultural activities.","B.Sc. (Geology), M.A. (Public Admn.) Educated at Mar Ivanios College and University College, Trivandrum, Madural Kamaraj University","Leader: (i) Indian Youth Delegation to Indo-SovietYouth Friendship Week at Alma Ata, Kazakhstan, 1973;(ii) Indian Parliamentary Delegation to U.S.A., U.K. erstwhile U.S.S.R., Afghanistan, Trinidad and Tobago etc.;and Member, Indian Parliamentary Delegation to CommonwelathParliamentary Conference, Trinidad and Tobago","(i)`Sarohito`, Valavi Road,Ernakulam,Cochin- 682 018 , KeralaTels. (0484) 2395330, 09447486777, 09388600096 (M),  Fax (0484) 2394956",,"Organiser of many State level sports meets in 1996 and State inter-school(CBSE)games in Chalakudy, Thrissur","Vill. Kanjirappally, Distt. Kottayam (Kerala)",,"1,63,35,679 1",,Indian National Congress,"Organising camp for  youth, social work; travelling and reading."
Rudramadhab Ray,Shri Rudra Madhab Ray,23/11/1937,23-Nov-37,Orissa,Odisha,No,Kandhamal,Kandhamal,Biju Janata Dal,M,"43,87,647","Promoted establishment of various educational institutions for boys and girls; founder member of 5 colleges, 7 high schools and 1 technical institute(Industrial Training Centre); organised different cultural programmes like drama and traditional plays of Oriya culture","B.Sc.    Educated at Ravebshaw College, Cuttack, Orissa","Combodia, Hongkong, Malaysia, Thailand and Vietnam","At & P.O. Madhyakhanda, PS. Dasapalla,Distt. Nayagarh - 752 084, OrissaTel. (0674) 2390332, (06842) 2255966, 09437006400 (M)",,Football and  volleyball,"Vill.Madhyakhanda, Distt. Nayagarh ( Orissa)",,"43,87,647 43 L",,Biju Janata Dal,"Agriculture and Horticulture; developed a horticulture firm for developing knowledge on the methods of high yield products like mango, lemon etc., for consultation and guidance of farmers"
Bapiraju Kanumuru,Shri Bapi Raju Kanumuri,25/06/1947,25-Jun-47,Andhra Pradesh,Andhra Pradesh,No,Narsapuram,Narasapur,Indian National Congress,M,"3,05,74,013","Social service, especially involved in medical care for the rural poor","Higher Secondary Educated at Hyderabad Public School, Andhra Pradesh",U.K. and U.S.A,"(i) Banjara Hills, Road No. 12, M.L.A. Colony,Hyderabad Andhra PradeshTel. 09491053999 (M)",,Horse riding and swimming,"Vill. Juvvalapalem, Distt. West Godavari (Andhra P",,"3,05,74,013",,Indian National Congress,"Nature loving, taming and caretaking of pets, birds, floriculture and vegetable gardens."
Inderjit Singh Rao,Shri Inderjit Singh Rao,#N/A,11-Feb-50,Haryana,Haryana,No,Gurgaon,Gurgaon,Indian National Congress,M,"6,73,83,257",Providing educational facilities in rural areas,"B.A. (Hons), LL.B.,   Educated at University of Delhi,Delhi",Widely travelled,"Rampura House,(near B.B. Ashram)Rewari-123 401(Haryana)Tel. (01274) 220044",,"Golf, swimming, tennis, shooting; (i) Member Indian Shooting Team from 1990-2003;  (ii) National Champion in Skeet Discipline for 3 years consecutively;  (iii) Secured Bronze Medal in Commonwealth Shooting Championship; (iv) Secured 3 Gold Medals in SAF Games;  Clubs:Member, (i) Delhi Gymkhana Club, (ii) IIC, (iii) Delhi Golf Club, (iv) Kasauli Club, (v) Chandigarh Golf Club",Rewari  (Haryana),,"6,73,83,257 6",,Indian National Congress,
Malik Sakti Mohan,Shri Sakti Mohan Malik,#N/A,3-Jun-59,West Bengal,West Bengal,No,Arambagh,Arambagh,Communist Party of India (Marxist),M,"24,15,310",Political works,"M.A., B.Ed. (Bengali and Political Science)  Educated at Burdwan University, West Bengal",Nepal,"Block Para, Ward No. 6, P.O. Arambagh, Distt. Hooghly- 712601 West Bengal Tel. (03211) 258641",,,"Chandibati, Distt. Hooghly (West Bengal)",,"24,15,310",,Communist Party of India (Marxist),"Reading novels, short stories and dramas"
Ramshankar,Prof.(Dr.)  Ram Shankar,21/09/1964,21-Sep-64,Uttar Pradesh,Uttar Pradesh,No,Agra,Agra,Bharatiya Janata Party,M,"15,11,000",Attached to various social organisations and participated in cultural programmes,"M.A., Ph.D. Educated at Kanpur University, Uttar Pradesh",,"1, Teachers` Home University CampusKhandari, Agra-02, Uttar PradeshTels. (0562) 2527933, 09412750008 (M)",,"Member, (i) Agra Club, (ii) Lion`s Club, (iii) Bharat Vikas Paridhad, Football, Kabaddi","Nagariyasarawha, Distt. - Etawah (Uttar Pradesh)",,"15,11,000 15 L",,Bharatiya Janata Party,"Social Harmony , Encouraging the youth ,Rural Development,Employment and Innovative research"
Jyotiraditya Madhavrao Scindia,Shri Jyotiraditya Madhavrao Scindia,1/1/71,1-Jan-71,Madhya Pradesh,Madhya Pradesh,No,Guna,Guna,Indian National Congress,M,"14,90,94,212",,"M.A., M.B.A.   Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University (Graduate School of  Business), California (USA) ",Widely travelled,"Jai Vilas Palace, Lashkar, Gwalior - 470 004, Madhya PradeshTels. (0751) 2322390,  2321101 Fax. (0751) 230411",,"Member, (i) Delhi Golf Club; (ii) DLF Golf Course; (iii) Classic Golf Course; (iv) Delhi Gymnkhana; (v) India International Centre;  and (vi) India Habitat Centre ",Mumbai (Maharashtra),,"14,90,94,212 1",,Indian National Congress,"Cricket, swimming, reading and wild life conservation "
Balkrishna Khanderao Shukla (Balu Shukla),Shri Balkrishna Khanderao Shukla,9/11/63,11-Sep-63,Gujarat,Gujarat,https://twitter.com/balu_shukla / https://twitter.com/BaluShukla,Vadodara,Vadodara,Bharatiya Janata Party,M,"26,62,058",,"B.Sc., MBA (HRM), Diploma in Violin   Educated at M.S. University of Baroda, Vadodara, Gujarat",,"`` Ashirvad``, Painter Tanajislane,Siddhhnath Road, Vododara - 390 001 GujaratTels. (0265) 2415890  09879515128 (M)",,Cycling and swimming,Vadodara (Gujarat),,"26,62,058 26 L",,Bharatiya Janata Party,Research & Analysis and Reading
Angadi Suresh Channabasappa,Shri Suresh Chanabasappa Angadi,6/1/55,1-Jun-55,Karnataka,Karnataka,No,Belgaum,Belgaum,Bharatiya Janata Party,M,"16,43,44,263",Providing drinking water to the rural women where there is no facility for it,"B. Com, LL.B. (Spl.)  Educated at S.S.S. Samiti College of Commerce, Belgaumand  R.L. Law College, Belgaum, Karnataka","Australia, France, Italy, Switzerland and U.K.","Spoorthi Sampige Road,Vishweshwarayya Nagar, Belgaum KarnatakaTels. (0831) 2452916, 2473826 Fax. (0831) 2476420",,"Golf; Member, Belgaum Golf Course","K.K. Kop, Distt. Belgaum (Karnataka)",,"16,43,44,263 1",,Bharatiya Janata Party,"Business, industry and agriculture and education for rural poor"
Jagdish Sharma,Shri Jagdish Sharma,10/1/50,1-Oct-50,Bihar,Bihar,No,Jahanabad,Jahanabad,Janata Dal (United),M,"1,34,63,781",,"B.V. Sc. & A.H., LL.B.   Educated at Magadh University and Rajendra Agricultural University Pussa, Bihar",,"Vill. & P.O.  Korra,  P.S. Ghosi,Distt. Jehanabad BiharTels. 09431821701 (M)",,Motivate sport persons by organizing various sports events,"Korra, Distt. Jehanabad (Bihar)",,"1,34,63,781 1",,Janata Dal (United),"To serve the Nation and Society, facilitating the development of People to growth of Nation"
Bijoya Chakravarty,Smt. Bijoya Chakravarty,10/7/39,7-Oct-39,Assam,Assam,No,Gauhati,Gauhati,Bharatiya Janata Party,F,"23,70,000","Organised women folk of Assam in both urban and rural areas in the name of Assam  Mahila Samiti, Assam Weavers Association; organising awareness and training camps for women and rural youth in coordination with various N.G.Os; associated with Children welfare activities specifically in the field of education and health","M.A. (English)                 Educated at Gauhati University, Guwahati,Assam and Banaras Hindu                                           University, Varanasi (Uttar Pradesh)",Widely travelled,"39, Srinagar Path, Bye Lane - I, Guwahati - 5, Assam",,"Sports woman of repute and holding a number of records, viz., record breaking performance in Assam Inter College Sports Festivals,Gauhati University, 1955-59  and won best athlete trophy for two years, 1955-57; <I>Member</I>, (i) Guwahati Health Club; (ii) Barkhetly Natyalaya Pragjyoti Sports Club; (iii) Weavers Club; (iv) Constitution Club; (v) Indigenous Sports Club; and (vi) Boys Club ","Baligaon, Jorhat (Assam)",,"23,70,000 23 L",,Bharatiya Janata Party,Development work in rural areas;Sports and travelling
Supriya Sule,Smt. Supriya Sadanand Sule,30/06/1969,30-Jun-69,Maharashtra,Maharashtra,https://twitter.com/supriyassule,Baramati,Baramati,Nationalist Congress Party,F,"50,45,00,573",,"B.Sc. (Microbiology)  Educated at Jai Hind College, Mumbai, Maharashtra",Widely travelled,"Silver Oak Eastate, House No. 2Breach Candy Mumbai - 400 026   MaharashtraTels. (022) 23515605, 23519658",,,Pune(Maharashtra),,"50,45,00,573",,Nationalist Congress Party,"Education, healthcare, self-help groups"
Beni Prasad Verma,Shri Beni Prasad Verma,2/11/41,11-Feb-41,Uttar Pradesh,Uttar Pradesh,No,Gonda,Gonda,Indian National Congress,M,"1,99,13,574",,"B.A.,LL.B.                       Educated at Lucknow University, Lucknow,Uttar Pradesh ","China, France, Germany, Singapore, Switzerland and U.K.","(i) Vill. Sirauli, P.O. Gauspur, Distt. Barabanki-225 001Uttar PradeshTels. (05241) 282344, 256006",,,"Sirauli, Distt. Barabanki (Uttar Pradesh)",,"1,99,13,574 1",,Indian National Congress,Agriculture
Ramen Deka,Shri Ramen Deka,3/1/54,1-Mar-54,Assam,Assam,No,Mangaldoi,Mangaldoi,Bharatiya Janata Party,M,"75,79,967","Cultural Secretary, Assam Sahitya Sabha, 1979","B.A. Educated at Pragjyotish College, Guwahati University, Assam",Bangladesh,"Pink Enclave, Mdshah Road,Paltan Bazar, Guwahati - 781 008, AssamTel. (0361) 2636366, 9435041680 (M)",,Chess,"Sualkuchi, Kamrup (R) (Assam)",,"75,79,967 75 L",,Bharatiya Janata Party,Socio-cultural activities
Narendra Singh Tomar,Shri Narendra Singh Tomar,6/12/57,12-Jun-57,Madhya Pradesh,Madhya Pradesh,https://twitter.com/narendra_singh,Morena,Morena,Bharatiya Janata Party,M,"31,25,703","Organising social, spiritual and cultural functions","Graduate   Educated at Jiwaji University, Gwalior, Madhya Pradesh","Austria, Belgium, France, Germany, Italy, Netherland, Switzerland, U.A.E. and U.K.","B-144, Professor Colony,Bhopal, Madhya PradeshTel. (0755) 2660416",,"President, Darpan Sport Sansthan, Gwalior","Vill. Murar, Distt. Gwalior (Madhya Pradesh)",,"31,25,703 31 L",,Bharatiya Janata Party,"Helping poor, blood donation camps and  plantation"
Tushar Amarsinh Chaudhary,Dr. Tushar Amarsinh Chaudhary,18/12/1965,18-Dec-65,Gujarat,Gujarat,No,Bardoli,Bardoli,Indian National Congress,M,"22,13,661","<I>President</I>, Gram Vikas Rachnatmak Trust (the  Trust organises blood donation camps, offers free eye check-up facilities and distributes spectacles and set up health check-up camps in rural areas)","M.B.B.S. Educated at M.S. University, Baroda, Gujarat","Canada, Korea, Malaysia, Mexico, Singapore, Thailand and USA","Sarita Nagar Society, At & P.O. Vyara,Distt.Tapi - 394 650, GujaratTels. (02626) 222213, 220102  Fax. (0261) 221213",,Cricket player,"Bedkuvta Valod, Distt. Surat  (Gujarat)",,"22,13,661 22 L",,Indian National Congress,"Tribal welfare, rural,agriculture development and upliftment of rural people"
A T Nana Patil,Shri A.T. (Nana) Patil,9/9/61,9-Sep-61,Maharashtra,Maharashtra,https://twitter.com/atnanapatilmp,Jalgaon,Jalgaon,Bharatiya Janata Party,M,"10,38,39,607",,M.Com,,"Rohit House, Plot No. 4, New Housing Society, Parola,Distt. Jalgaon - 425 111, MaharashtraTels. (02597) 222526, 222199   Fax. (02597) 222599",,Swimming and kabaddi,"Parola, Jalgaon (Maharashtra)",,"10,38,39,607 1",,Bharatiya Janata Party,Agriculture and defence affairs
Ninong Ering,Shri Ninong Ering,1/3/59,3-Jan-59,Arunachal Pradesh,Arunachal Pradesh,No,Arunachal East,Arunachal East,Indian National Congress,M,"10,43,20,000","Sufi music and ghazals, works in NGOs regarding sanitation and health programmes","B.A., Educated at J.N. College,Pasighat, Arunachal Pradesh",,"Mirku Dapi Village, P.O. Pasighat,Distt. East Siang  Arunachal PradeshTel. (0368) 2222314 09436040378, 09862559914 (M)",,Football & cricket,"Pasighat, East Siang (Arunachal Pradesh)",,"10,43,20,000 1",,Indian National Congress,
Francisco Sardinha,Shri Francisco Sardinha,15/04/1946,15-Apr-46,Goa,Goa,No,South Goa,South Goa,Indian National Congress,M,"2,94,73,470",,"B.Sc., B.Ed.   Educated at Chowgule College, Bombay University, Maharashtra",Widely travelled,"Ugirim, Curtorim, Salcete,Goa - 403 803Tels. (0832) 2786282, 2786955, 2456992  09822198222 (M)",,,"Curtorim, Distt. Salcete (Goa)",,"2,94,73,470 2",,Indian National Congress,Sports and games
Sai Prathap Annayyagari,Shri Sai Prathap Annayyagari,20/09/1944,20-Sep-44,Andhra Pradesh,Andhra Pradesh,No,Rajampet,Rajampet,Indian National Congress,M,"62,28,356",Rendering service to the poor and economically weaker communities and  taking part in the events promoting communal harmony; active in social service fraternity,"Under Graduate    Educated at Gulbarga Medical College, Gulbarga, Karnataka",,"D. No. 1/1981, Krishnappa Nagar, Near Railway StationKadapa - 516 004  Andhra PradeshTels. (08562) 246972, 256799,   09849161126 (M)",,,"Bellambary Village, District  Kolar (Karnataka)",,"62,28,356 62 L",,Indian National Congress,Reading the works of eminent leaders and sociologists
N. Peethambarakurup,Shri N. Peethambara Kurup,24/05/1942,24-May-42,Kerala,Kerala,No,Kollam,Kollam,Indian National Congress,M,"28,10,132",,"B.A.(Economics), LL.B.   Educated at Kerala University, Kerala",Gulf Countries,"Edayila veedu, Vettiyara, Navaikulam,Distt.Trivandrum KeralaTels. (0470) 2683007 09447694850 (M)",,,"Vill. Navaikulam, Distt. Thiruvananthapuram (Kera",,"28,10,132 28 L",,Indian National Congress,Reading & writings
Kalyan Singh R O Madholi,Shri Kalyan Singh,1/5/32,5-Jan-32,Uttar Pradesh,Uttar Pradesh,No,Etah,Etah,Independent,M,"38,80,000",Social Service,"B.A., L.T. Educated at D.S. Degree College, Alligarh, Uttar Pradesh","Indonesia, Singapore,Thailand","2, Mall Avenue,                  Lucknow, Uttar PradeshTels. ( 0522) 2237218, 9761837999 (M)",,"Kabaddi, tennis","Vill. Madhauli, Distt. Aligarh (Uttar Pradesh)",,"38,80,000 38 L",,Bharatiya Janata Party,Reading
